code,name,continent,iso_country,iso_region,gps_code,iata_code,latitude,longitude
CN-JNZ,Sanshilipu Air Base,AS,CN,CN-21,,,121.7610016,39.28950119
CNC3,Brampton-Caledon Airport,NA,CA,CA-ON,CNC3,,-79.875,43.7603
CY-0002,Lefkoniko Airport,AS,CY,CY-03,LCGK,GEC,33.724358,35.235947
CYAC,Cat Lake Airport,NA,CA,CA-ON,CYAC,YAC,-91.82440186,51.72719955
CYAG,Fort Frances Municipal Airport,NA,CA,CA-ON,CYAG,YAG,-93.43969727,48.65420151
CYAH,La Grande-4 Airport,NA,CA,CA-QC,CYAH,YAH,-73.6753006,53.75469971
CYAL,Alert Bay Airport,NA,CA,CA-BC,CYAL,YAL,-126.9160004,50.5821991
CYAM,Sault Ste Marie Airport,NA,CA,CA-ON,CYAM,YAM,-84.509399,46.485001
CYAQ,Kasabonika Airport,NA,CA,CA-ON,CYAQ,XKS,-88.64279938,53.52470016
CYAS,Kangirsuk Airport,NA,CA,CA-QC,CYAS,YKG,-69.99919891,60.02719879
CYAT,Attawapiskat Airport,NA,CA,CA-ON,CYAT,YAT,-82.43190002,52.92750168
CYAU,Liverpool South Shore Regional Airport,NA,CA,CA-NS,CYAU,,-64.85610199,44.2303009
CYAV,Winnipeg / St. Andrews Airport,NA,CA,CA-MB,CYAV,,-97.032501,50.0564
CYAX,Lac Du Bonnet Airport,NA,CA,CA-MB,CYAX,,-96.010002,50.294399
CYAY,St. Anthony Airport,NA,CA,CA-NL,CYAY,YAY,-56.08309937,51.39189911
CYAZ,Tofino / Long Beach Airport,NA,CA,CA-BC,CYAZ,YAZ,-125.775583,49.079833
CYBB,Kugaaruk Airport,NA,CA,CA-NU,CYBB,YBB,-89.808098,68.534401
CYBC,Baie Comeau Airport,NA,CA,CA-QC,CYBC,YBC,-68.204399,49.1325
CYBD,Bella Coola Airport,NA,CA,CA-BC,CYBD,QBC,-126.596001,52.387501
CYBE,Uranium City Airport,NA,CA,CA-SK,CYBE,YBE,-108.4810028,59.56140137
CYBF,Bonnyville Airport,NA,CA,CA-AB,CYBF,YBY,-110.744003,54.304199
CYBG,CFB Bagotville,NA,CA,CA-QC,CYBG,YBG,-70.99639893,48.33060074
CYBK,Baker Lake Airport,NA,CA,CA-NU,CYBK,YBK,-96.07779694,64.29889679
CYBL,Campbell River Airport,NA,CA,CA-BC,CYBL,YBL,-125.271004,49.950802
CYBQ,Tadoule Lake Airport,NA,CA,CA-MB,CYBQ,XTL,-98.512199,58.7061
CYBR,Brandon Municipal Airport,NA,CA,CA-MB,CYBR,YBR,-99.951897,49.91
CYBT,Brochet Airport,NA,CA,CA-MB,CYBT,YBT,-101.679001,57.8894
CYBU,Nipawin Airport,NA,CA,CA-SK,CYBU,,-104.0080032,53.33250046
CYBV,Berens River Airport,NA,CA,CA-MB,CYBV,YBV,-97.018303,52.358898
CYBW,Calgary / Springbank Airport,NA,CA,CA-AB,CYBW,,-114.374001,51.1031
CYBX,Lourdes de Blanc Sablon Airport,NA,CA,CA-QC,CYBX,YBX,-57.18529892,51.4435997
CYCA,Cartwright Airport,NA,CA,CA-NL,CYCA,YRF,-57.04190063,53.68280029
CYCB,Cambridge Bay Airport,NA,CA,CA-NU,CYCB,YCB,-105.1380005,69.10810089
CYCC,Cornwall Regional Airport,NA,CA,CA-ON,CYCC,YCC,-74.56330109,45.09280014
CYCD,Nanaimo Airport,NA,CA,CA-BC,CYCD,YCD,-123.8698626,49.05497022
CYCE,Centralia / James T. Field Memorial Aerodrome,NA,CA,CA-ON,CYCE,YCE,-81.508301,43.285599
CYCG,Castlegar/West Kootenay Regional Airport,NA,CA,CA-BC,CYCG,YCG,-117.6320038,49.29639816
CYCH,Miramichi Airport,NA,CA,CA-NB,CYCH,YCH,-65.449203,47.007801
CYCL,Charlo Airport,NA,CA,CA-NB,CYCL,YCL,-66.330299,47.990799
CYCN,Cochrane Airport,NA,CA,CA-ON,CYCN,YCN,-81.01360321,49.10559845
CYCO,Kugluktuk Airport,NA,CA,CA-NU,CYCO,YCO,-115.143997,67.816704
CYCP,Blue River Airport,NA,CA,CA-BC,CYCP,,-119.2829971,52.11669922
CYCQ,Chetwynd Airport,NA,CA,CA-BC,CYCQ,YCQ,-121.6269989,55.68719864
CYCR,Cross Lake (Charlie Sinclair Memorial) Airport,NA,CA,CA-MB,CYCR,YCR,-97.76080322,54.61059952
CYCS,Chesterfield Inlet Airport,NA,CA,CA-NU,CYCS,YCS,-90.73110199,63.34690094
CYCY,Clyde River Airport,NA,CA,CA-NU,CYCY,YCY,-68.51670074,70.48609924
CYDA,Dawson City Airport,NA,CA,CA-YT,CYDA,YDA,-139.128006,64.04309845
CYDB,Burwash Airport,NA,CA,CA-YT,CYDB,YDB,-139.0410004,61.37110138
CYDC,Princeton Airport,NA,CA,CA-BC,CYDC,,-120.5110016,49.4681015
CYDF,Deer Lake Airport,NA,CA,CA-NL,CYDF,YDF,-57.39139938,49.21080017
CYDM,Ross River Airport,NA,CA,CA-YT,CYDM,XRR,-132.4230042,61.97060013
CYDN,Dauphin Barker Airport,NA,CA,CA-MB,CYDN,YDN,-100.052002,51.10079956
CYDO,Dolbeau St Felicien Airport,NA,CA,CA-QC,CYDO,YDO,-72.375,48.7784996
CYDP,Nain Airport,NA,CA,CA-NL,CYDP,YDP,-61.68030167,56.54919815
CYDQ,Dawson Creek Airport,NA,CA,CA-BC,CYDQ,YDQ,-120.1829987,55.74229813
CYEE,Huronia Airport,NA,CA,CA-ON,CYEE,,-79.92829895,44.68330002
CYEG,Edmonton International Airport,NA,CA,CA-AB,CYEG,YEG,-113.5800018,53.30970001
CYEK,Arviat Airport,NA,CA,CA-NU,CYEK,YEK,-94.07080078,61.09420013
CYEL,Elliot Lake Municipal Airport,NA,CA,CA-ON,CYEL,YEL,-82.56140137,46.35139847
CYEM,Manitoulin East Municipal Airport,NA,CA,CA-ON,CYEM,YEM,-81.85810089,45.84280014
CYEN,Estevan Airport,NA,CA,CA-SK,CYEN,YEN,-102.9660034,49.21030045
CYER,Fort Severn Airport,NA,CA,CA-ON,CYER,YER,-87.67610168,56.01890182
CYET,Edson Airport,NA,CA,CA-AB,CYET,YET,-116.4649963,53.57889938
CYEV,Inuvik Mike Zubko Airport,NA,CA,CA-NT,CYEV,YEV,-133.4830017,68.30419922
